date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice,usd_rate
1/15/2004,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,32.71,0.3343,97.8546
1/15/2004,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,26.66,0.2725,97.8546
2/15/2004,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,33.62,0.3421,98.5459
2/15/2004,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,26.71,0.2718,98.5459
3/15/2004,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,32.92,0.3385,97.4523
3/15/2004,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,26.63,0.2738,97.4523
4/15/2004,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,32.98,0.3376,98.0263
4/15/2004,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,26.67,0.273,98.0263
5/15/2004,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,34.1,0.3455,98.8555
5/15/2004,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,26.71,0.2706,98.8555
6/15/2004,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,33.74,0.3341,100.7245
6/15/2004,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,26.66,0.264,100.7245
7/15/2004,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,26.63,0.2587,102.8461
8/15/2004,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,26.7,0.2586,103.4041
9/15/2004,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,37.14,0.3599,103.2441
9/15/2004,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,27.49,0.2664,103.2441
10/15/2004,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,37.36,0.3596,103.8214
10/15/2004,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,28.15,0.2709,103.8214
11/15/2004,Eastern,Ampara,Ampara,7.283333,81.666667,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,41.75,0.3983,104.665
11/15/2004,Eastern,Ampara,Ampara,7.283333,81.666667,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,48,0.458,104.665
11/15/2004,Eastern,Batticaloa,Batticaloa,7.716667,81.7,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,52.5,0.5009,104.665
11/15/2004,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,32,0.3053,104.665
11/15/2004,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,39.6,0.3778,104.665
11/15/2004,Northern,Jaffna,Jaffna,9.6567,80.0137,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,113.75,1.0853,104.665
11/15/2004,Northern,Kilinochchi,Kilinochchi,9.3961,80.3982,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,32,0.3053,104.665
11/15/2004,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,42.75,0.4079,104.665
11/15/2004,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,38.5,0.3673,104.665
11/15/2004,Northern,Mullattivu,Mulaitivu,9.268,80.815,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,33.5,0.3196,104.665
11/15/2004,Northern,Mullattivu,Mulaitivu,9.268,80.815,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,45,0.4293,104.665
11/15/2004,Northern,Vavuniya,Vavuniya,8.75,80.5,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,39.5,0.3769,104.665
11/15/2004,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,29.24,0.279,104.665
12/15/2004,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,63.5,0.603,104.821
12/15/2004,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,64.5,0.6125,104.821
12/15/2004,Northern,Jaffna,Jaffna,9.6567,80.0137,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,71.5,0.679,104.821
12/15/2004,Northern,Kilinochchi,Kilinochchi,9.3961,80.3982,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,30,0.2849,104.821
12/15/2004,Northern,Kilinochchi,Kilinochchi,9.3961,80.3982,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,70,0.6648,104.821
12/15/2004,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,55,0.5223,104.821
12/15/2004,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,65,0.6173,104.821
12/15/2004,Northern,Mullattivu,Mulaitivu,9.268,80.815,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,70,0.6648,104.821
12/15/2004,Northern,Vavuniya,Vavuniya,8.75,80.5,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,56,0.5318,104.821
12/15/2004,Northern,Vavuniya,Vavuniya,8.75,80.5,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,65,0.6173,104.821
12/15/2004,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,34.14,0.3242,104.821
1/15/2005,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,35.14,0.3443,99.6422
2/15/2005,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,36.25,0.3651,99.3927
2/15/2005,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,29.27,0.2948,99.3927
3/15/2005,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,33.99,0.3426,99.443
3/15/2005,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,32.79,0.3305,99.443
4/15/2005,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,32.25,0.3238,99.7242
4/15/2005,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,32.48,0.3261,99.7242
5/15/2005,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,31.66,0.3168,99.8602
5/15/2005,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,30.68,0.307,99.8602
6/15/2005,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,31.32,0.3119,99.994
6/15/2005,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,28.02,0.2791,99.994
7/15/2005,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,30.47,0.3032,100.3005
7/15/2005,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,27.54,0.2741,100.3005
8/15/2005,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,29.48,0.2923,100.7784
9/15/2005,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,29.66,0.2929,101.3911
10/15/2005,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,30.83,0.3035,101.525
10/15/2005,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,30.27,0.298,101.525
11/15/2005,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,32.39,0.3184,101.8997
11/15/2005,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,30.44,0.2992,101.8997
1/15/2006,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,35.23,0.3448,102.1459
1/15/2006,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,30.24,0.2959,102.1459
2/15/2006,Eastern,Ampara,Ampara,7.283333,81.666667,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,27,0.2644,102.1911
2/15/2006,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,30,0.2938,102.1911
2/15/2006,Northern,Kilinochchi,Kilinochchi,9.3961,80.3982,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,29,0.284,102.1911
2/15/2006,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,28,0.2742,102.1911
2/15/2006,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,33.08,0.3239,102.1911
2/15/2006,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,30.98,0.3034,102.1911
3/15/2006,Eastern,Ampara,Ampara,7.283333,81.666667,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,25,0.2434,102.679
3/15/2006,Eastern,Ampara,Ampara,7.283333,81.666667,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,30.5,0.297,102.679
3/15/2006,Eastern,Batticaloa,Batticaloa,7.716667,81.7,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,30.6,0.2979,102.679
3/15/2006,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,29.4,0.2862,102.679
3/15/2006,Northern,Jaffna,Jaffna,9.6567,80.0137,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,30,0.2921,102.679
3/15/2006,Northern,Jaffna,Jaffna,9.6567,80.0137,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,33.5,0.3262,102.679
3/15/2006,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,27.5,0.2677,102.679
3/15/2006,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,32.5,0.3164,102.679
3/15/2006,Northern,Mullattivu,Mulaitivu,9.268,80.815,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,36,0.3505,102.679
3/15/2006,Northern,Vavuniya,Vavuniya,8.75,80.5,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,32.5,0.3164,102.679
3/15/2006,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,31,0.3018,102.679
3/15/2006,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,31.76,0.3092,102.679
4/15/2006,Eastern,Ampara,Ampara,7.283333,81.666667,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,27.5,0.2675,102.6631
4/15/2006,Eastern,Ampara,Ampara,7.283333,81.666667,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,33.5,0.3259,102.6631
4/15/2006,Eastern,Batticaloa,Batticaloa,7.716667,81.7,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,36.66,0.3566,102.6631
4/15/2006,Eastern,Batticaloa,Batticaloa,7.716667,81.7,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,31,0.3015,102.6631
4/15/2006,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,34,0.3307,102.6631
4/15/2006,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,31,0.3015,102.6631
4/15/2006,Northern,Jaffna,Jaffna,9.6567,80.0137,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,28.5,0.2772,102.6631
4/15/2006,Northern,Jaffna,Jaffna,9.6567,80.0137,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,34.25,0.3332,102.6631
4/15/2006,Northern,Kilinochchi,Kilinochchi,9.3961,80.3982,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,26,0.2529,102.6631
4/15/2006,Northern,Kilinochchi,Kilinochchi,9.3961,80.3982,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,33,0.321,102.6631
4/15/2006,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,26.5,0.2578,102.6631
4/15/2006,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,32.5,0.3161,102.6631
4/15/2006,Northern,Mullattivu,Mulaitivu,9.268,80.815,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,36,0.3502,102.6631
4/15/2006,Northern,Vavuniya,Vavuniya,8.75,80.5,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,27,0.2626,102.6631
4/15/2006,Northern,Vavuniya,Vavuniya,8.75,80.5,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,32.5,0.3161,102.6631
4/15/2006,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,30.46,0.2963,102.6631
4/15/2006,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,34.56,0.3362,102.6631
5/15/2006,Eastern,Ampara,Ampara,7.283333,81.666667,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,16,0.1556,102.9003
5/15/2006,Eastern,Batticaloa,Batticaloa,7.716667,81.7,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,36.16,0.3518,102.9003
5/15/2006,Eastern,Batticaloa,Batticaloa,7.716667,81.7,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,31.6,0.3074,102.9003
5/15/2006,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,29.6,0.2879,102.9003
5/15/2006,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,29.75,0.2894,102.9003
5/15/2006,Northern,Jaffna,Jaffna,9.6567,80.0137,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,34,0.3307,102.9003
5/15/2006,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,32.5,0.3161,102.9003
5/15/2006,Northern,Mullattivu,Mulaitivu,9.268,80.815,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,28,0.2724,102.9003
5/15/2006,Northern,Mullattivu,Mulaitivu,9.268,80.815,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,36,0.3502,102.9003
5/15/2006,Northern,Vavuniya,Vavuniya,8.75,80.5,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,32.5,0.3161,102.9003
5/15/2006,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,33.88,0.3296,102.9003
6/15/2006,Eastern,Ampara,Ampara,7.283333,81.666667,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,26.5,0.256,103.5118
6/15/2006,Eastern,Ampara,Ampara,7.283333,81.666667,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,36.5,0.3526,103.5118
6/15/2006,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,30.5,0.2947,103.5118
6/15/2006,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,32,0.3091,103.5118
6/15/2006,Northern,Kilinochchi,Kilinochchi,9.3961,80.3982,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,29,0.2802,103.5118
6/15/2006,Northern,Kilinochchi,Kilinochchi,9.3961,80.3982,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,35,0.3381,103.5118
6/15/2006,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,34,0.3285,103.5118
6/15/2006,Northern,Mullattivu,Mulaitivu,9.268,80.815,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,32,0.3091,103.5118
6/15/2006,Northern,Mullattivu,Mulaitivu,9.268,80.815,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,42,0.4058,103.5118
6/15/2006,Northern,Vavuniya,Vavuniya,8.75,80.5,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,30,0.2898,103.5118
6/15/2006,Northern,Vavuniya,Vavuniya,8.75,80.5,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,33.5,0.3236,103.5118
6/15/2006,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,30.53,0.2949,103.5118
6/15/2006,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,34.26,0.331,103.5118
7/15/2006,Eastern,Ampara,Ampara,7.283333,81.666667,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,22.5,0.2164,103.9831
7/15/2006,Eastern,Batticaloa,Batticaloa,7.716667,81.7,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,32.3,0.3106,103.9831
7/15/2006,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,30.62,0.2945,103.9831
7/15/2006,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,31.5,0.3029,103.9831
7/15/2006,Northern,Jaffna,Jaffna,9.6567,80.0137,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,35,0.3366,103.9831
7/15/2006,Northern,Kilinochchi,Kilinochchi,9.3961,80.3982,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,31.5,0.3029,103.9831
7/15/2006,Northern,Kilinochchi,Kilinochchi,9.3961,80.3982,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,35,0.3366,103.9831
7/15/2006,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,31.5,0.3029,103.9831
7/15/2006,Northern,Mullattivu,Mulaitivu,9.268,80.815,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,30.5,0.2933,103.9831
7/15/2006,Northern,Mullattivu,Mulaitivu,9.268,80.815,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,35,0.3366,103.9831
7/15/2006,Northern,Vavuniya,Vavuniya,8.75,80.5,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,33,0.3174,103.9831
7/15/2006,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,31.07,0.2988,103.9831
7/15/2006,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (white),KG,actual,Retail,LKR,30.25,0.2909,103.9831
7/15/2006,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,33.87,0.3257,103.9831
8/15/2006,Eastern,Batticaloa,Batticaloa,7.716667,81.7,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,33.66,0.3238,103.7816
8/15/2006,Eastern,Batticaloa,Batticaloa,7.716667,81.7,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,31.3,0.3011,103.7816
8/15/2006,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,30.75,0.2958,103.7816
8/15/2006,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,35.5,0.3415,103.7816
8/15/2006,Northern,Jaffna,Jaffna,9.6567,80.0137,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,41,0.3945,103.7816
8/15/2006,Northern,Kilinochchi,Kilinochchi,9.3961,80.3982,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,32,0.3079,103.7816
8/15/2006,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,31.5,0.3031,103.7816
8/15/2006,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,35,0.3367,103.7816
8/15/2006,Northern,Mullattivu,Mulaitivu,9.268,80.815,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,37.5,0.3608,103.7816
8/15/2006,Northern,Mullattivu,Mulaitivu,9.268,80.815,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,38,0.3656,103.7816
8/15/2006,Northern,Vavuniya,Vavuniya,8.75,80.5,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,31.5,0.3031,103.7816
8/15/2006,Northern,Vavuniya,Vavuniya,8.75,80.5,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,34,0.3271,103.7816
8/15/2006,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,30.86,0.2969,103.7816
8/15/2006,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (white),KG,actual,Retail,LKR,29.54,0.2842,103.7816
8/15/2006,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,34.89,0.3357,103.7816
9/15/2006,Eastern,Ampara,Ampara,7.283333,81.666667,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,22.5,0.2198,102.4928
9/15/2006,Eastern,Ampara,Ampara,7.283333,81.666667,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,35,0.3419,102.4928
9/15/2006,Eastern,Batticaloa,Batticaloa,7.716667,81.7,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,35.3,0.3448,102.4928
9/15/2006,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,35.25,0.3443,102.4928
9/15/2006,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,34.8,0.3399,102.4928
9/15/2006,Northern,Jaffna,Jaffna,9.6567,80.0137,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,55,0.5372,102.4928
9/15/2006,Northern,Jaffna,Jaffna,9.6567,80.0137,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,40,0.3907,102.4928
9/15/2006,Northern,Kilinochchi,Kilinochchi,9.3961,80.3982,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,32,0.3126,102.4928
9/15/2006,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,32.5,0.3174,102.4928
9/15/2006,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,34,0.3321,102.4928
9/15/2006,Northern,Mullattivu,Mulaitivu,9.268,80.815,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,35.5,0.3467,102.4928
9/15/2006,Northern,Mullattivu,Mulaitivu,9.268,80.815,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,60,0.5861,102.4928
9/15/2006,Northern,Vavuniya,Vavuniya,8.75,80.5,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,33,0.3223,102.4928
9/15/2006,Northern,Vavuniya,Vavuniya,8.75,80.5,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,34,0.3321,102.4928
9/15/2006,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (white),KG,actual,Retail,LKR,29.92,0.2922,102.4928
9/15/2006,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,36.36,0.3551,102.4928
10/15/2006,Eastern,Batticaloa,Batticaloa,7.716667,81.7,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,40.3,0.382,105.5861
10/15/2006,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,38.3,0.3631,105.5861
10/15/2006,Northern,Jaffna,Jaffna,9.6567,80.0137,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,183,1.7347,105.5861
10/15/2006,Northern,Jaffna,Jaffna,9.6567,80.0137,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,80,0.7583,105.5861
10/15/2006,Northern,Kilinochchi,Kilinochchi,9.3961,80.3982,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,31,0.2939,105.5861
10/15/2006,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,32,0.3033,105.5861
10/15/2006,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,37,0.3507,105.5861
10/15/2006,Northern,Mullattivu,Mulaitivu,9.268,80.815,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,45,0.4266,105.5861
10/15/2006,Northern,Vavuniya,Vavuniya,8.75,80.5,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,33.5,0.3176,105.5861
10/15/2006,Northern,Vavuniya,Vavuniya,8.75,80.5,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,39.3,0.3725,105.5861
10/15/2006,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,31.75,0.301,105.5861
10/15/2006,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (white),KG,actual,Retail,LKR,29.66,0.2812,105.5861
10/15/2006,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,39.38,0.3733,105.5861
11/15/2006,Eastern,Ampara,Ampara,7.283333,81.666667,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,28.25,0.2609,107.74
11/15/2006,Eastern,Ampara,Ampara,7.283333,81.666667,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,48,0.4433,107.74
11/15/2006,Eastern,Batticaloa,Batticaloa,7.716667,81.7,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,33.67,0.311,107.74
11/15/2006,Eastern,Batticaloa,Batticaloa,7.716667,81.7,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,39,0.3602,107.74
